,class,tax_order,family,genus,species,gen_spec
184,Actinopterygii,Cypriniformes,Cyprinidae,Barilius,vagra,Barilius vagra
185,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,furcatus,Ictalurus furcatus
186,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,nebulosus,Cynoscion nebulosus
187,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,Engraulis mordax
188,Actinopterygii,Atheriniformes,Atherinidae,Leuresthes,tenuis,Leuresthes tenuis
189,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,molitrix,Hypophthalmichthys molitrix
190,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,nobilis,Hypophthalmichthys nobilis
191,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,maculosus,Oligocottus maculosus
192,Actinopterygii,Cypriniformes,Cyprinidae,Leucaspius,delineatus,Leucaspius delineatus
193,Actinopterygii,Siluriformes,Schilbeidae,Schilbe,mystus,Schilbe mystus
194,Actinopterygii,Perciformes,Cichlidae,Tilapia,leucosticta,Tilapia leucosticta
195,Actinopterygii,Cypriniformes,Cyprinidae,Agosia,chrysogaster,Agosia chrysogaster
196,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,furzeri,Nothobranchius furzeri
197,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,Gadus morhua
198,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,rutilus,Rutilus rutilus
199,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,spiloptera,Cyprinella spiloptera
200,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Rivulus,marmoratus,Rivulus marmoratus
201,Actinopterygii,Perciformes,Percidae,Perca,sp.,Perca sp.
202,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,splendida,Melanotaenia splendida
